true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12
0,254300,1,76900,658277,0,729985,0,2897,0,0,384,125073,43
1,653,100653777,897741,1417,7420,5219859,39953,347556,1464,0,346026,12157904,3750
2,96408,303325,374877106,192416,276856,59908611,241275,757714,357277,9250,7405461,45603113,199577
3,1904201,1032,255095,287704542,0,9419086,28393,83692,11,0,0,6230509,18925
4,0,8747,100955,0,56936110,2360757,4143,20950,562542,12407,1382763,650561,3363
5,104410,838904,40417908,7197869,1692465,306262525,600284,1227976,632127,72225,9515295,41172406,431431
6,35687,180702,3110906,68876,36491,2094166,15334828,363129,27335,110,82841,53969389,652177
7,287451,9460463,20163819,533058,52198,59443183,2027272,174433869,286364,752,67192,122619227,13227
8,9,1175,542173,19,771683,1655885,1875,55561,315434557,14142,649499,3854454,14
9,0,0,118038,0,2818985,1767248,22,3351,67807,2457379,539705,457450,1
10,0,10073,3784345,0,949215,8870643,31614,18004,523184,3288,129823359,3573048,1806
11,2766801,4337271,12661151,1174987,474889,43715033,9744499,6358757,656903,4420,1091534,1376784486,6248991
12,1903,315327,1936706,258177,13120,6567491,475192,11400635,378827,212,100905,38637498,113761782
