true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12
0,63534,0,850,405026,4,745460,53,4850,0,0,0,628078,5
1,1830,97988516,946229,2059,6517,6110723,2053,210545,14385,0,462294,13929170,3199
2,47464,348785,359935806,182145,330158,64799399,175625,1867178,778734,8640,10239292,51376932,138231
3,1720889,2300,198821,289226853,40,6427593,26255,83701,527,0,458,7921262,36787
4,7,34199,147128,33,53428660,3909605,2830,22161,923736,24404,2393763,1084841,71931
5,241576,698850,34430707,8962130,2210377,301024871,261472,1639660,1266136,22329,10901741,48256306,249670
6,76407,36031,2461321,291146,54404,3477441,10703159,249017,81402,1827,87515,57747662,689305
7,403676,11094597,16543252,638073,54717,60747688,1016527,129222722,853667,660,81095,168718871,12530
8,0,3942,478089,113,1535521,2163577,7085,84998,313087362,17409,1100939,4501650,361
9,0,7,129245,0,2769717,1912268,3258,5578,121042,1719485,766941,801977,468
10,6,62643,2619653,84,1400302,14126746,38775,18281,963553,828,124396720,3946962,14026
11,2481649,4605708,17779464,3311863,627501,51655951,7364582,6909012,1860736,28498,1459799,1362732449,5202510
12,1685,920437,1167809,564022,22886,13709674,306276,8952851,514082,298,116258,37807577,109763920
