true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12
0,128193,0,1700,723558,0,849380,0,502,0,0,0,144500,27
1,110,99145398,733198,1097,5243,5532800,6468,311651,1643,0,515669,13422969,1274
2,42083,125570,374523211,94007,346638,62523707,281520,875225,440753,9607,6627984,44256677,81407
3,2201941,458,181127,288708596,14,8234044,62159,58442,9,0,10,6187933,10753
4,0,1788,100664,11,56519859,2793099,6874,15663,492000,11299,1403019,684864,14158
5,88847,532559,35712174,3992927,2112326,310670820,1005921,1029390,668687,55134,9482679,44460282,354079
6,30552,194577,2666994,87501,38569,3153763,23409662,1235461,34959,232,114353,44500191,489823
7,194657,13990376,21883200,360037,28641,64218171,3285102,160775420,259002,726,57379,124326505,8859
8,0,196,559382,2,868913,1731658,2566,62245,315122202,27709,766907,3838824,442
9,0,37,111302,0,1881051,2174660,15631,3158,63234,2845100,681339,454461,13
10,0,1123,4184047,2,1064415,9851315,27080,11225,820188,3955,128256628,3366152,2449
11,2542048,3912575,11045845,1369120,419630,42259567,15206302,5109002,733873,7339,910049,1376246477,6257895
12,1159,973170,1993341,340636,10493,9866940,283269,12726135,545525,435,94244,30799638,116212790
