class_id,class_name,IoU_fraction,IoU_percent
0,beam,0.038182512307947176,3.8182512307947176
1,board,0.7559062232523455,75.59062232523455
2,bookcase,0.6657794533605581,66.5779453360558
3,ceiling,0.9163491099059533,91.63491099059533
4,chair,0.8317789291434282,83.17789291434282
5,clutter,0.5118025207266308,51.18025207266308
6,column,0.2121965531699249,21.21965531699249
7,door,0.4306422575158279,43.06422575158279
8,floor,0.9661883142873182,96.61883142873182
9,sofa,0.40636902614560333,40.636902614560334
10,table,0.7751243185453686,77.51243185453686
11,wall,0.7730091397905555,77.30091397905555
12,window,0.6451469787524445,64.51469787524445
