class_id,class_name,IoU_fraction,IoU_percent
0,beam,0.030581207091835608,3.058120709183561
1,board,0.7358036985025446,73.58036985025446
2,bookcase,0.6692252157056777,66.92252157056777
3,ceiling,0.9242656414646696,92.42656414646696
4,chair,0.8186638418869194,81.86638418869194
5,clutter,0.5102413952064447,51.024139520644475
6,column,0.258119515880086,25.811951588008604
7,door,0.47440177082119167,47.44017708211917
8,floor,0.964295042887912,96.42950428879121
9,sofa,0.3605695783424679,36.05695783424679
10,table,0.7612549980909918,76.12549980909918
11,wall,0.7860350231283093,78.60350231283093
12,window,0.6387397586663407,63.87397586663407
