true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12
0,245347,0,196062,552638,0,680880,0,375,0,0,292,172266,0
1,271,97870996,1213350,3476,5841,6669673,46114,253433,2525,1,516744,13088462,6634
2,26593,98852,381457252,148558,371922,51962843,432389,1319280,387428,6463,6926685,46977642,112482
3,2864325,288,635881,289065109,0,6429684,57215,91002,115,0,152,6475737,25978
4,0,3140,90658,4,56754299,2601062,10018,18317,520969,26863,1325600,684637,7731
5,50757,660162,38404916,4283632,2359855,305637748,649764,1705330,763615,47417,10682521,44682854,237254
6,39306,35252,2422099,89753,26005,2902208,24679668,567326,29827,446,96440,44714992,353315
7,178029,7762307,21422293,383279,25759,63736305,3094885,197229399,238562,1055,51803,95247275,17124
8,0,6348,453404,78,857719,1544956,4010,71913,315392106,25470,815487,3809280,275
9,0,578,127073,0,2154666,1633557,15229,6655,70271,3011149,754921,455819,68
10,1,2665,3417813,0,1027477,9468013,53972,14847,859786,2761,129229365,3509980,1899
11,3013741,4408835,10155777,1280043,442083,35918964,14686137,5758679,873128,10173,881359,1383392603,5198200
12,1920,356426,1230610,364167,10898,5292208,606966,16548155,342859,455,117731,34124392,114850988
