true_class,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12
0,198828,0,39897,604692,0,844888,7,9188,0,0,1344,149016,0
1,462,100187444,675217,2363,4584,6129919,121273,230269,2302,0,349090,11971568,3029
2,92350,386314,368675815,338561,303681,56400024,372630,1461835,466641,26136,8003542,53550400,150460
3,2541528,433,226406,288178269,0,8324781,59968,74879,115,0,0,6228030,11077
4,0,6298,90321,3,57480517,2048134,5914,21576,532821,9300,1183068,652088,13258
5,62121,1057407,35397360,5365314,2053614,308800057,698581,2452813,808932,30400,9737849,43420753,280624
6,28133,251068,2228535,62684,40065,2406717,17855571,460429,38450,504,89531,52095366,399584
7,164630,8907660,17281752,395933,33862,56453439,2539354,194149294,296439,1789,45848,109105400,12675
8,14,7843,455256,56,840660,1447564,1881,60055,315862673,16323,554007,3734698,16
9,0,12,119614,0,2411562,1822290,15578,2461,88312,2871094,501972,397082,9
10,0,10632,2726591,0,994362,8883809,58067,28123,825235,3410,130525238,3532324,788
11,3123381,4619090,8720095,1320266,467345,39909555,12936614,7545081,833244,8545,931709,1380725847,4878950
12,6036,440337,1828549,278802,18447,5061872,566175,16173984,481350,237,114017,36270170,112607799
